1) 0.0	: 19.64969602801709
156) 72.10290922132444	: 14.27522073735214
157) 72.56808928081686	: 16.16921108823471
158) 73.03326934030927	: 13.537425860602559
159) 73.49844939980169	: 15.188688978328752
160) 73.96362945929411	: 17.098085263364073
161) 74.42880951878652	: 16.08251741476257
162) 74.89398957827893	: 15.699632598760735
163) 75.35916963777136	: 15.10871596272386
164) 75.82434969726377	: 15.121699734297056
165) 76.28952975675618	: 15.892802552489178
166) 76.75470981624859	: 14.825083842805743
167) 77.21988987574102	: 14.628438201663567
168) 77.68506993523343	: 14.030893168127838
169) 78.15024999472584	: 15.202839413512123
170) 78.61543005421827	: 16.23546707123043
171) 79.08061011371068	: 14.613812084172062
172) 79.54579017320309	: 16.442536914795266
173) 80.01097023269551	: 14.887730448493986
174) 80.47615029218792	: 14.212374994084794
175) 80.94133035168034	: 15.929385337126899
176) 81.40651041117276	: 16.498817136867483
177) 81.87169047066517	: 15.80820656607313
178) 82.33687053015758	: 16.091405199169333
179) 82.80205058965001	: 16.797855549302493
180) 83.26723064914242	: 15.40374632568159
181) 83.73241070863483	: 15.731830932578308
182) 84.19759076812726	: 15.275956507585272
183) 84.66277082761967	: 16.660792420762796
184) 85.12795088711208	: 14.993969030846989
185) 85.5931309466045	: 10.569650688213315
186) 86.05831100609691	: 14.983756465170007
187) 86.52349106558933	: 16.61694975192867
188) 86.98867112508175	: 14.217032505529213
189) 87.45385118457416	: 15.669729757241825
190) 87.91903124406657	: 16.910815018295768
191) 88.384211303559	: 14.729471281927939
192) 88.84939136305141	: 16.884990473209033
193) 89.31457142254382	: 14.987755196478428
194) 89.77975148203625	: 16.294029156825484
195) 90.24493154152866	: 15.764123008390902
196) 90.71011160102107	: 14.695329689314661
197) 91.1752916605135	: 16.436774945255667
198) 91.6404717200059	: 14.467101146298408
199) 92.10565177949832	: 15.55519697532815
200) 92.57083183899074	: 14.521763433762924
201) 93.03601189848315	: 15.779326729043035
202) 93.50119195797556	: 14.628859731931104
203) 93.96637201746798	: 16.3887365158604
204) 94.4315520769604	: 14.728110551201102
205) 94.89673213645281	: 15.528256984031554
206) 95.36191219594522	: 15.387773549686557
207) 95.82709225543765	: 9.98054040186176
208) 96.29227231493006	: 16.661653536602277
209) 96.75745237442247	: 15.852780669200069
210) 97.2226324339149	: 15.240866130974132
211) 97.6878124934073	: 15.275302678346225
212) 98.15299255289972	: 15.702152049776497
213) 98.61817261239214	: 15.085109212852768
214) 99.08335267188455	: 15.979363547130896
215) 99.54853273137697	: 15.654124403082713
216) 100.01371279086939	: 17.817284750561633
217) 100.4788928503618	: 15.769569141603238
218) 100.94407290985421	: 16.0875108017443
219) 101.40925296934664	: 15.976379896794047
220) 101.87443302883905	: 14.86793924478702
221) 102.33961308833146	: 15.128292928205738
222) 102.80479314782389	: 16.259187261287646
223) 103.2699732073163	: 15.780587361841247
224) 103.73515326680871	: 15.019789151253956
225) 104.20033332630113	: 16.026244263110513
226) 104.66551338579355	: 15.69118635654645
227) 105.13069344528596	: 15.89274370068732
228) 105.59587350477838	: 14.691511639496913
229) 106.0610535642708	: 15.892769181478453
230) 106.5262336237632	: 15.090521902390808
231) 106.99141368325563	: 15.887454718386191
232) 107.45659374274804	: 14.889972046940112
233) 107.92177380224045	: 16.093583192401592
234) 108.38695386173288	: 13.232785174667388
235) 108.85213392122529	: 12.890874282951032
